,raiden,holochain-rust,LightTable,logger,reicast-emulator,axios,Android-ObservableScrollView,Luban,symphony,nodejs.org,datadog-agent,Calligraphy,MaterialViewPager,jquery,AndroidSlidingUpPanel,iotivity
FlycoTabLayout,0.645833333,0.245098039,0.245098039,0.666666667,0.645833333,0.429824561,0.429824561,0.295238095,0.429824561,0.574074074,0.255244755,0.592592593,0.245098039,0.429824561,0.647619048,0.592592593
Fragmentation,0.723749303,0.325178664,0.358574358,0.34548495,0.755072111,0.806618511,0.333251997,0.441448082,0.710932858,0.728335295,0.388118022,0.690121162,0.34548495,0.34348199,0.482401093,0.806618511
GSYVideoPlayer,0.489003823,0.305090715,0.245746245,0.505127616,0.516853933,0.236224719,0.459787108,0.438202247,0.517909563,0.487282475,0.409043442,0.566665784,0.259977448,0.540198332,0.544452993,0.555225439
HealthTime,0.6,0.138461538,0.138461538,0.138461538,0.6,0.138461538,0.138461538,0.264646465,0.68,0.325,0.325,0.6,0.264646465,0.138461538,0.68,0.138461538
HikariCP,0.556696336,0.379934874,0.445028038,0.242352902,0.483967534,0.529599156,0.505426469,0.384781566,0.512509802,0.459378894,0.462839363,0.596335981,0.234570236,0.464344705,0.374285945,0.443964221
HomeMirror,0.663780664,0.440999139,0.440999139,0.440999139,0.577889167,0.410663411,0.391534392,0.481481481,0.592592593,0.440999139,0.589424951,0.555555556,0.444654882,0.440999139,0.514349848,0.519400353
JCSprout,0.490520514,0.367710742,0.413053484,0.467108534,0.457765186,0.376369327,0.341687606,0.275329396,0.592179807,0.457765186,0.503368034,0.490520514,0.413053484,0.382941265,0.222583865,0.490627902
JDeodorant,0.39882129,0.447709649,0.291535183,0.287297349,0.551620766,0.387722641,0.384621246,0.321607255,0.404014398,0.287297349,0.332545066,0.434870615,0.400910849,0.483891925,0.323832481,0.407057652
JiaoZiVideoPlayer,0.587646769,0.515954647,0.247836059,0.310028487,0.380899024,0.562576023,0.459682622,0.454528578,0.545409277,0.59536273,0.270218368,0.510266737,0.522336108,0.255451012,0.507787373,0.496158405
Lean,0.56500034,0.461869138,0.387018409,0.441498338,0.494780548,0.308455159,0.364879917,0.469215663,0.555346477,0.497739756,0.464921769,0.516089724,0.397285182,0.477544714,0.400181846,0.407017621
LightTable,0.576975563,0.245622187,0.284749176,0.352525355,0.561531525,0.563227792,0.575581927,0.459092931,0.548831712,0.598017926,0.414560956,0.554345506,0.325489794,0.493647695,0.541601483,0.365118331
Luban,0.614791289,0.408508159,0.45,0.518229167,0.486875395,0.623043478,0.70884058,0.792028986,0.539241623,0.652380952,0.580170778,0.625652174,0.580170778,0.700617284,0.455507246,0.288095238
MaterialDesignLibrary,0.578828829,0.15885273,0.148648649,0.445850105,0.636188731,0.570041228,0.468988219,0.384419714,0.570041228,0.518661519,0.365659777,0.570041228,0.616961789,0.518018018,0.675675676,0.365659777
MaterialDrawer,0.499206088,0.430464883,0.28327834,0.284653258,0.330787583,0.333617793,0.330643297,0.284311605,0.545345026,0.301029411,0.282999612,0.338038744,0.322520908,0.599804952,0.301536103,0.547199661
MaterialViewPager,0.509662553,0.235446862,0.306645744,0.235446862,0.494749263,0.262720157,0.530016116,0.345443716,0.507056087,0.445874961,0.358675799,0.485331337,0.28901141,0.558445898,0.558445898,0.212667842
Matisse,0.657501682,0.242712843,0.515174817,0.702153846,0.742857143,0.47670068,0.714868805,0.497015873,0.610857143,0.224404762,0.555925959,0.750026752,0.264958592,0.425637892,0.427581942,0.496186249
PermissionsDispatcher,0.522787684,0.389354411,0.348197069,0.537093976,0.547721831,0.635076003,0.575693223,0.456074969,0.533451598,0.401399614,0.426492632,0.620791466,0.411088867,0.510164083,0.591990818,0.638228422
PhotoView,0.523509818,0.317833727,0.384197752,0.571636775,0.556303083,0.560124064,0.401791204,0.476107153,0.523372798,0.400346482,0.420924048,0.536745657,0.509645559,0.365593949,0.50553492,0.312452667
RefactoringMiner,0.389870017,0.441460253,0.405396911,0.405396911,0.47657025,0.529277337,0.295518237,0.504494062,0.380555055,0.430953186,0.504494062,0.457202483,0.429013886,0.50944276,0.480219343,0.514952154
RxPermissions,0.598761261,0.340819964,0.408068515,0.276231468,0.604391434,0.665446915,0.604391434,0.463960462,0.590744296,0.636128776,0.450622906,0.69496732,0.513040591,0.628367711,0.600442968,0.420588235
Signal-Android,0.507122511,0.403437375,0.28789422,0.497521311,0.521819299,0.465545739,0.465572966,0.382566274,0.584414932,0.220591245,0.422029884,0.42156339,0.288888148,0.38889428,0.376962273,0.448151737
SlidingMenu,0.603978066,0.333339376,0.323920248,0.439785333,0.618451672,0.55992562,0.546808956,0.313166443,0.562890277,0.546275172,0.328189117,0.588458505,0.338032948,0.465373576,0.508274957,0.658251353
SmartRefreshLayout,0.808333333,0.576470588,0.576470588,0.138461538,0.808333333,0.576470588,0.138461538,0.70989011,0.709090909,0.576470588,0.576470588,0.6,0.466666667,0.6,0.138461538,0.576470588
Telegram,0.659208402,0.135595227,0.125645335,0.758810913,0.625509326,0.61497408,0.69991234,0.137908988,0.662282391,0.753373456,0.159680524,0.653770764,0.671105791,0.137420405,0.570939007,0.117222689
ViewPagerIndicator,0.616670095,0.509089042,0.47008547,0.246153846,0.600274725,0.309631545,0.603297256,0.518696581,0.488980944,0.416141236,0.440185676,0.591114768,0.637083575,0.540895492,0.595274007,0.422138837
ZfcUser,0.620465305,0.241197738,0.533998473,0.44445087,0.642061202,0.342876027,0.499034953,0.54707368,0.565769311,0.558479532,0.591090987,0.535066411,0.450764475,0.342876027,0.411836726,0.522340587
Zilliqa,0.51934116,0.463055019,0.254530404,0.528144525,0.455666043,0.428737513,0.446063973,0.370727397,0.546930157,0.50911432,0.267783629,0.487399879,0.415847895,0.471039492,0.438533064,0.530918383
abinit,0.547646053,0.408577893,0.286663071,0.288265823,0.566205439,0.536781535,0.389489912,0.432615924,0.537662167,0.285946568,0.327782215,0.570347965,0.442859913,0.443122129,0.560351438,0.486644769
alfresco-android-app,0.548565776,0.35860238,0.338099233,0.345446881,0.46333574,0.380089055,0.569238901,0.340110011,0.44995755,0.352422481,0.370926244,0.425983754,0.374088012,0.390864808,0.366889644,0.563303735
android,0.498198879,0.421156245,0.309996237,0.28439565,0.551386445,0.397621942,0.535652254,0.438866859,0.480146085,0.28678683,0.375045335,0.548033141,0.510027038,0.462250031,0.506593164,0.555773137
android-Ultra-Pull-To-Refresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
android-async-http,0.603754409,0.237450948,0.336119403,0.508953424,0.611179361,0.462432162,0.555947464,0.514908732,0.613915611,0.552277531,0.411048185,0.634378851,0.527433626,0.434455829,0.588059701,0.233161503
android-fly-in-app-navigation,0.615384615,0.291497976,0.442307692,0.256410256,0.760839161,0.688644689,0.615384615,0.532967033,0.455011655,0.442307692,0.688644689,0.455011655,0.442307692,0.361538462,0.299300699,0.455011655
ant,0.451962771,0.488404687,0.463014888,0.563192884,0.558073251,0.310232719,0.55579448,0.510935672,0.460484496,0.525190964,0.519370313,0.517563428,0.276066817,0.339668925,0.50322982,0.316397739
apollo,0.455550938,0.431374021,0.298277841,0.486868618,0.378815911,0.478556137,0.525406952,0.423616283,0.520027401,0.258327847,0.378481795,0.524806286,0.47044055,0.477087473,0.506122449,0.456299278
arthas,0.48937863,0.294554195,0.324570082,0.518116827,0.496367871,0.50567588,0.469562348,0.516129032,0.555667238,0.256441469,0.44292592,0.550491292,0.42088307,0.434671568,0.462098531,0.337685226
axios,0.553289217,0.313583597,0.527578242,0.311921406,0.549095555,0.598950108,0.511327292,0.581513804,0.482115737,0.346882543,0.53315899,0.464257659,0.490355227,0.401834327,0.452610213,0.493644301
banner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bootstrap,0.556658271,0.454860961,0.247558037,0.469678778,0.52366817,0.524770082,0.52892882,0.501664695,0.56304967,0.212209006,0.312372389,0.570414249,0.477004134,0.539460876,0.554369202,0.569148866
brmo,0.509999342,0.461075843,0.316321297,0.4651255,0.421411091,0.516536083,0.435802674,0.43948799,0.524379242,0.312086752,0.397520222,0.522262431,0.373865459,0.456014478,0.415775516,0.561609119
butterknife,0.466301814,0.391017175,0.537952513,0.405297733,0.658184609,0.469823941,0.657579521,0.451440236,0.60136274,0.627992083,0.518347238,0.59359473,0.633059248,0.42504768,0.488841941,0.479581316
canal,0.686682682,0.158484291,0.123340529,0.053927454,0.582706404,0.141237725,0.806839554,0.611768068,0.729153925,0.200892644,0.398238974,0.752524653,0.721310461,0.604167972,0.717121738,0.211997537
core,0.575918483,0.336688552,0.380988919,0.558746469,0.580963191,0.506800872,0.565710555,0.472080736,0.516872525,0.567771885,0.4132825,0.54683517,0.4763053,0.283931918,0.534525626,0.511308408
core-moos,0.508714597,0.381639558,0.331232493,0.514443921,0.519968823,0.446510957,0.504607545,0.401432359,0.511440544,0.54689853,0.457104045,0.517165511,0.371060811,0.535201473,0.401740772,0.559288755
crispy-doom,0.434168788,0.465806264,0.300533986,0.440657861,0.46248121,0.483190332,0.368687169,0.410693392,0.551617954,0.278339841,0.367869551,0.467050459,0.377402779,0.278339841,0.430996988,0.490731903
datadog-agent,0.508693043,0.437175525,0.319307329,0.369569112,0.472835315,0.310772719,0.422481985,0.494544136,0.509444099,0.515585557,0.438170756,0.506331767,0.446641597,0.374134263,0.477397648,0.472860514
dinghy,0.523089478,0.38477396,0.412962963,0.307428903,0.531482378,0.412795592,0.358709273,0.599500294,0.491930071,0.441085076,0.534488434,0.634240912,0.411899212,0.442106072,0.587025844,0.431636178
disruptor,0.594093516,0.51202445,0.526469381,0.25859997,0.621973748,0.593615143,0.634230035,0.573584135,0.565665429,0.621461262,0.614306964,0.571080979,0.314189928,0.484624743,0.509641873,0.52325634
docker,0.436850312,0.115008626,0.105757932,0.209856916,0.489676011,0.511911762,0.642596664,0.288051209,0.604977859,0.385654886,0.233285917,0.602316602,0.642596664,0.559459459,0.726523133,0.158434296
druid,0.569367859,0.468953254,0.25415853,0.497142728,0.479100136,0.500729316,0.560869563,0.28848237,0.609518514,0.558059035,0.357766627,0.448205926,0.503493773,0.559072588,0.37416113,0.507450383
dspot,0.521731743,0.464155732,0.174311817,0.552704637,0.292173185,0.33596058,0.287079239,0.45140519,0.473779595,0.460406947,0.278214912,0.403588815,0.335462663,0.563656917,0.505109573,0.165296196
entt,0.423423245,0.500037498,0.501026343,0.432560381,0.507199263,0.195121583,0.188383347,0.563531825,0.344115906,0.505068123,0.521205384,0.447378985,0.502536523,0.326012658,0.505538324,0.232888322
epoxy,0.405405125,0.447731198,0.447731198,0.461716581,0.56194485,0.443491053,0.463864186,0.503977522,0.410789324,0.379558405,0.553250475,0.448592593,0.419379839,0.44280479,0.492124696,0.404802605
faster-rcnn.pytorch,0.631493019,0.404703309,0.5301146,0.662852784,0.69605475,0.628978655,0.305414586,0.550197628,0.55483342,0.640967765,0.582815735,0.661521636,0.36636761,0.411078873,0.503084955,0.533674339
fastjson,0.575193965,0.480548498,0.299748999,0.275547662,0.456769407,0.50312395,0.491556731,0.3269904,0.619768078,0.525814945,0.403508826,0.433181615,0.456509219,0.453922499,0.36687314,0.432452792
flamingo,0.567546812,0.474595412,0.276264741,0.300536355,0.33806721,0.277912573,0.314659972,0.501423324,0.493705201,0.275706956,0.330973487,0.530422914,0.27644472,0.505421325,0.509712525,0.51514139
flask,0.56530381,0.391304968,0.408560003,0.311093383,0.598673432,0.430204614,0.597645184,0.49671813,0.598219709,0.593918468,0.491916495,0.594274314,0.430482052,0.457951471,0.475938514,0.367574568
fresco,0.481084421,0.451355886,0.500048268,0.42217951,0.541929516,0.466887747,0.564713818,0.483964169,0.465648537,0.432760624,0.542152153,0.416723252,0.501415456,0.465812701,0.414706341,0.528410501
graphql-engine,0.571204557,0.265110072,0.308056637,0.314300056,0.586361363,0.613481873,0.577416403,0.428787477,0.490224487,0.529323168,0.395381468,0.469870284,0.470153925,0.267375647,0.487169656,0.604680978
greenDAO,0.569786535,0.564746453,0.601889524,0.593846888,0.646054894,0.591763817,0.173579271,0.423985746,0.612038385,0.592451027,0.610000812,0.513475286,0.595918367,0.262138562,0.355790519,0.595238095
grin,0.525248302,0.420384559,0.306273111,0.539010222,0.536453822,0.559380111,0.552896376,0.48952571,0.546055867,0.552206957,0.355122328,0.432340439,0.43252714,0.456167475,0.408445052,0.294260182
gson,0.441216415,0.433916974,0.424845963,0.386178499,0.529116778,0.419056006,0.536380831,0.477362581,0.509600064,0.507703337,0.470135893,0.506981139,0.52747334,0.561030634,0.425708094,0.330545344
hadoop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
holochain-rust,0.324806824,0.511498224,0.278379934,0.378989945,0.301881476,0.404333743,0.277481853,0.529837398,0.325215387,0.282104739,0.280347053,0.499900023,0.486903547,0.45730854,0.493628651,0.384038779
hydrus,0.503348531,0.301040967,0.335126762,0.381643482,0.543760067,0.450251832,0.594793908,0.401654176,0.496789322,0.515659092,0.395135062,0.541093591,0.301440038,0.36831326,0.481872106,0.306783883
insolar,0.347267456,0.490488404,0.247175416,0.355300554,0.288621975,0.385711519,0.429916178,0.485033884,0.362275168,0.247845639,0.251137975,0.477644924,0.247724322,0.37537885,0.512431495,0.344457733
ionic,0.489462792,0.545961165,0.23553399,0.495352873,0.376705825,0.474933924,0.375938861,0.524425831,0.429639857,0.430939861,0.287972486,0.504190963,0.514567734,0.440030489,0.52417806,0.213641399
iotivity,0.532578817,0.274236142,0.231172645,0.355593185,0.55637295,0.558443118,0.544472829,0.428723479,0.493112732,0.507331507,0.376755964,0.559497404,0.535541077,0.526325934,0.56627309,0.299797014
iotjs,0.505980786,0.321923608,0.364861807,0.330028929,0.571567301,0.391171973,0.448165679,0.469107558,0.455218225,0.48816809,0.486823687,0.46573453,0.358016949,0.485676542,0.490957591,0.418854708
istio,0.555081054,0.31287554,0.270439349,0.475490702,0.53132499,0.333420904,0.29214029,0.453784892,0.543807567,0.257218696,0.383146125,0.544515969,0.465740942,0.2879696,0.535674296,0.530389678
jadx,0.615958348,0.501482521,0.239666586,0.558294009,0.320579151,0.581488317,0.32808862,0.42530516,0.63064429,0.592994938,0.362913791,0.43915043,0.185962925,0.494971474,0.398371565,0.265238358
java-design-patterns,0.533747895,0.429200048,0.447116742,0.393353412,0.56330128,0.535791684,0.448496226,0.531223522,0.537008014,0.532476616,0.490012314,0.48728214,0.456456762,0.438075503,0.449219774,0.449823695
javascript,0.478340546,0.468186007,0.508726539,0.221819123,0.571018735,0.424809915,0.610187547,0.522974893,0.310579116,0.577717247,0.519959236,0.548571904,0.294764199,0.446341362,0.589143711,0.294409528
javascript-algorithms,0.567550538,0.429010462,0.484315998,0.453562846,0.552073733,0.524600386,0.470706942,0.512276368,0.56281502,0.382274915,0.507692687,0.560221121,0.467921778,0.292249059,0.439914773,0.347137796
jmxtrans,0.547474767,0.294023427,0.386164442,0.518379399,0.55395061,0.405174575,0.557498313,0.481012658,0.504960892,0.563976808,0.481287495,0.525542288,0.543530218,0.503067565,0.528828879,0.260840777
jquery,0.610139676,0.371264107,0.193264663,0.173346114,0.583243447,0.311984084,0.608504121,0.347996473,0.627233919,0.598949666,0.264179104,0.566609296,0.525291491,0.588439366,0.509173341,0.610783777
kafka,0.28089536,0.507406294,0.490188149,0.365163038,0.4674576,0.239933173,0.378114612,0.528859817,0.285375877,0.41572805,0.504658008,0.390435083,0.493614421,0.480311206,0.484793313,0.432059266
kbc-ui,0.495736167,0.567288656,0.181953289,0.526089956,0.210473601,0.562982909,0.310927694,0.214277363,0.491962165,0.178404632,0.235273104,0.217569124,0.525637071,0.533836174,0.20271577,0.373196137
kdcproxy,0.614438503,0.193939394,0.454022168,0.494949495,0.705046198,0.631301574,0.58989899,0.528138528,0.631301574,0.525440451,0.505175983,0.58989899,0.193939394,0.631301574,0.576090576,0.544701363
leakcanary,0.571606464,0.212614216,0.294095939,0.549995335,0.517138638,0.552834342,0.619706712,0.534552274,0.633801309,0.181671941,0.513425393,0.626135106,0.537550939,0.328373508,0.607319841,0.425402342
logger,0.571428571,0.328320802,0.388843731,0.410714286,0.536307243,0.42775842,0.42775842,0.462233169,0.566964286,0.278571429,0.494871795,0.494791667,0.448979592,0.444444444,0.526728111,0.533935413
lottie-react-native,0.55746378,0.344971264,0.52472723,0.340277778,0.5484375,0.393867771,0.551635255,0.563711267,0.535233285,0.551352319,0.528028526,0.575578704,0.473160206,0.526169951,0.582244009,0.557338133
mall,1,0.666666667,1,1,1,1,1,0.666666667,1,1,1,1,1,1,0,1
marko,0.485532512,0.420169325,0.372061154,0.445423073,0.462520539,0.419388661,0.463929398,0.396547295,0.490277484,0.3613673,0.435160084,0.587147129,0.50539717,0.320041068,0.500383904,0.43942109
mdanalysis,0.486522196,0.467601994,0.275405089,0.536606315,0.500781779,0.381171299,0.522046694,0.470447093,0.518203294,0.272508149,0.3358219,0.517451524,0.400350824,0.5228362,0.505932215,0.522295699
mobile-icon-resizer,0.5,0.405,0.53125,0.238636364,0.5,0.584090909,0.390909091,0.304411765,0.45,0.68872549,0.741666667,0.557352941,0.535931174,0.266304348,0.354166667,0.483333333
mongo,0.403860091,0.526779147,0.458531004,0.449234877,0.507701228,0.311124177,0.275634741,0.531640022,0.438410523,0.371053228,0.502374661,0.420195479,0.48996053,0.486368431,0.453989858,0.471407322
motogp,0.64516129,0.216054014,0.282488479,0.649667179,0.648869114,0.649667179,0.672485769,0.305103032,0.647462947,0.216054014,0.282488479,0.647462947,0.282488479,0.216054014,0.681485497,0.489385167
mybatis-3,0.492914327,0.449696249,0.354648977,0.427738139,0.493772351,0.402700745,0.37402432,0.45355284,0.507503677,0.482604939,0.496667983,0.454050062,0.427482187,0.460977597,0.401697925,0.473858805
nodejs.org,0.558542912,0.310224812,0.438460827,0.300021958,0.561009369,0.294385591,0.554507603,0.48017878,0.551807808,0.579555565,0.493797755,0.566213653,0.306415588,0.485996499,0.563109558,0.513153614
onnx,0.540359044,0.242983551,0.275598931,0.326305341,0.557257287,0.261230085,0.536918351,0.360264153,0.488855758,0.557150534,0.360734682,0.529329465,0.499042182,0.535143541,0.578874248,0.546283715
picasso,0.585560774,0.269023504,0.36114056,0.621840735,0.652057652,0.355071442,0.439553181,0.47530694,0.566309013,0.496455358,0.474355361,0.597550744,0.362593574,0.2336059,0.517936118,0.235391275
pip,0.52867344,0.353057076,0.341186088,0.472738766,0.590868153,0.473692213,0.566553562,0.474527703,0.54958337,0.572760752,0.433800845,0.550192447,0.389604049,0.277541205,0.508733321,0.508727169
postgres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raiden,0.518469232,0.497357698,0.303889879,0.304400938,0.406290199,0.329822556,0.483274885,0.408495326,0.521135283,0.315377775,0.321192142,0.447335582,0.306375142,0.408320594,0.429702437,0.30568299
rasa_core,0.499666646,0.404080079,0.288259191,0.281082042,0.46906034,0.52704319,0.426373236,0.481022175,0.5131057,0.415518158,0.346965926,0.511022583,0.476811245,0.281378499,0.505736421,0.520515306
rasa_nlu,0.492299021,0.465188411,0.282000156,0.523501164,0.461601081,0.270509904,0.493503587,0.522589826,0.488324294,0.294808097,0.336906739,0.538277865,0.521238935,0.435529657,0.498565718,0.418405477
rchain,0.506633245,0.460207211,0.357240647,0.482004235,0.480345374,0.424654127,0.526599079,0.508356523,0.540166723,0.460211618,0.380992366,0.544262195,0.429878183,0.37910857,0.501502146,0.528760734
react-native-navigation,0.51670403,0.462093459,0.319822186,0.448845263,0.483256031,0.450727714,0.393881554,0.429785217,0.527853595,0.539295218,0.394003412,0.534056132,0.391377318,0.525134615,0.436013573,0.299811144
realm-java,0.56677289,0.355015258,0.31275762,0.566593346,0.575627154,0.523204759,0.563857449,0.429087233,0.560059514,0.515560056,0.387503243,0.54482686,0.299687466,0.391190056,0.465833489,0.585508213
recyclerview-animators,0.554412264,0.356887409,0.401090304,0.48295897,0.475493385,0.426684636,0.583714269,0.549466776,0.537747238,0.274270229,0.507686932,0.653687822,0.512023677,0.548459926,0.659167876,0.47509434
redisson,0.518885652,0.475169129,0.237279383,0.363547454,0.318847896,0.419917143,0.32435213,0.525731478,0.371095554,0.540194047,0.273758127,0.407468162,0.462736083,0.23431511,0.533994809,0.282189496
reicast-emulator,0.551072227,0.369435867,0.345010855,0.41780931,0.568504394,0.559422825,0.430132615,0.468032665,0.514716328,0.301511172,0.437588488,0.571409406,0.381919651,0.533115738,0.520711283,0.50887964
rhino,0.494466868,0.395460588,0.297841491,0.527652883,0.560831269,0.36390477,0.509029204,0.434972496,0.519265125,0.552030053,0.385757316,0.549332841,0.399063095,0.544163845,0.508969314,0.269374542
sanitize-html,0.434917921,0.40546252,0.397727273,0.266304348,0.555943396,0.473091198,0.418804317,0.479445964,0.331432749,0.510135135,0.378925121,0.60313805,0.460227273,0.640765766,0.65726601,0.654569892
scikit-learn,0.519945727,0.462737116,0.31820553,0.412355396,0.532918279,0.53455842,0.524119486,0.458352869,0.535821671,0.541717405,0.37403131,0.514021647,0.422864643,0.538121141,0.499215661,0.437269867
spark,0.642857143,0.5,0.642857143,0.766666667,0.5,0.642857143,0.642857143,0.5,0.642857143,0.642857143,0.642857143,0.642857143,0.642857143,0.5,0.642857143,0.642857143
spoon,0.62371654,0.238396722,0.221839542,0.529584728,0.599693325,0.379427156,0.551339546,0.314174213,0.60727661,0.183451567,0.406377467,0.557635189,0.532631798,0.604736048,0.399442,0.382596634
stetho,0.597402597,0.173748582,0.441281125,0.515263302,0.629802489,0.625264381,0.572145096,0.562999753,0.593132924,0.361352933,0.563059014,0.595163136,0.608311031,0.572145096,0.436302578,0.597510598
storm,0.50636866,0.432600862,0.409159882,0.299370831,0.495141476,0.503664693,0.508246058,0.444043867,0.526417823,0.417229657,0.459551547,0.504252174,0.400496047,0.506916295,0.410552315,0.295727046
symphony,0.498841129,0.449327465,0.270589291,0.270589291,0.328014686,0.289760669,0.516223814,0.288148714,0.551874963,0.517466498,0.277406733,0.301609511,0.424607936,0.270142071,0.29029637,0.277456392
synfig,0.518227638,0.494301701,0.283653333,0.280004294,0.435245853,0.41828095,0.456983777,0.498142547,0.530862292,0.285074537,0.390302869,0.492553185,0.346026772,0.51027844,0.499844531,0.497923025
testrepository,0.477347084,0.340724528,0.456874212,0.323632611,0.542894961,0.548868201,0.419989367,0.526315789,0.435830003,0.539615167,0.552114868,0.524076148,0.454383919,0.481504967,0.47662424,0.529924033
tetris_project,0.481481481,0.605734767,0.605734767,0.666666667,0.444444444,0.605734767,0.324867725,0.596707819,0.333333333,0.54789272,0.605734767,0.523809524,0.636904762,0.605734767,0.636904762,0.683982684
thanos,0.536817073,0.291323438,0.314949892,0.517522008,0.520570107,0.534010314,0.534969547,0.425029841,0.52192282,0.513987196,0.427762359,0.529180072,0.456393138,0.294320078,0.481025847,0.490878912
tinker,0.519225514,0.264864816,0.308118479,0.470532438,0.577920461,0.460338086,0.469033045,0.466134799,0.514919971,0.242975207,0.425244177,0.501132424,0.249951951,0.514919971,0.548682618,0.477720225
uCrop,0.64699793,0.236413043,0.400682012,0.442811695,0.617180538,0.685616573,0.666595711,0.381022327,0.638701568,0.67154688,0.498922836,0.626770598,0.538329979,0.660365469,0.444407847,0.700131752
ubiquity,0.417641351,0.495712311,0.301443778,0.475998682,0.355959798,0.525513166,0.375320148,0.494636241,0.454101961,0.471209728,0.352488844,0.485251392,0.464967075,0.36684384,0.452119156,0.301443778
